stevilka,domaca_ekipa,gostujoca_ekipa,rezultat,krog,datum,ura,liga
3059006,2027,2015,4-1,20,2020-1-19,12:00,4
3059007,2022,2031,0-0,20,2020-1-18,18:30,4
3059008,2016,2021,2-1,20,2020-1-18,16:00,4
3059009,2023,2032,1-2,20,2020-1-19,16:00,4
3059010,2037,2023,1-2,21,2020-1-25,18:30,4
3059011,2020,2053,0-0,21,2020-1-26,12:00,4
3059012,2033,2042,0-0,21,2020-1-26,14:00,4
3059013,2032,2019,1-1,21,2020-1-25,13:00,4
3059014,2039,2025,1-0,21,2020-1-26,16:00,4
3059015,2022,2036,2-0,21,2020-1-24,21:00,4
3059016,2028,2027,3-0,21,2020-1-26,18:30,4
3059017,2021,7072,2-0,21,2020-1-25,21:00,4
3059018,2015,2017,2-0,21,2020-1-25,16:00,4
3059019,2031,2016,0-1,21,2020-1-26,21:00,4
3059020,2019,2039,0-2,22,2020-2-2,16:00,4
3059021,2017,2036,2-1,22,2020-2-2,21:00,4
3059022,2042,2025,1-1,22,2020-2-2,14:00,4
3059023,7072,2032,2-1,22,2020-2-1,13:00,4
3059024,2053,2028,2-1,22,2020-2-2,12:00,4
3059025,2027,2031,0-1,22,2020-2-1,18:30,4
3059026,2016,2020,1-0,22,2020-2-1,16:00,4
3059027,2021,2037,1-1,22,2020-2-2,18:30,4
3059028,2015,2033,1-0,22,2020-2-1,21:00,4
3059029,2023,2022,3-1,22,2020-2-2,18:30,4
3059030,2037,2042,2-1,23,2020-2-7,21:00,4
3059031,2020,7072,1-0,23,2020-2-8,21:00,4
3059032,2025,2017,2-3,23,2020-2-9,21:00,4
3059033,2033,2021,2-1,23,2020-2-9,18:30,4
3059034,2032,2027,1-0,23,2020-2-9,12:00,4
3059035,2039,2015,3-0,23,2020-2-8,16:00,4
3059036,2036,2053,2-0,23,2020-2-8,13:00,4
3059037,2022,2016,1-4,23,2020-2-9,16:00,4
3059038,2028,2019,2-1,23,2020-2-9,14:00,4
3059039,2031,2023,1-1,23,2020-2-8,18:30,4
3059040,2019,2022,0-1,24,2020-2-16,18:30,4
3059041,2017,2039,2-1,24,2020-2-15,16:00,4
3059042,2042,2028,1-2,24,2020-3-10,20:00,4
3059043,7072,2031,2-1,24,2020-2-15,21:00,4
3059044,2053,2025,0-0,24,2020-2-16,14:00,4
3059045,2027,2037,1-0,24,2020-2-15,13:00,4
3059046,2016,2033,2-2,24,2020-2-16,21:00,4
3059047,2021,2032,2-2,24,2020-2-16,12:00,4
3059048,2015,2020,2-2,24,2020-2-14,21:00,4
3059049,2023,2036,2-1,24,2020-2-15,18:30,4
3059050,2037,2019,2-1,25,2020-2-23,14:00,4
3059051,2020,2023,3-1,25,2020-2-23,21:00,4
3059052,2017,2042,5-0,25,2020-2-22,16:00,4
3059053,2025,2027,3-3,25,2020-2-21,21:00,4
3059054,2033,2053,1-0,25,2020-2-22,13:00,4
3059055,2039,2021,0-3,25,2020-2-23,18:30,4
3059056,2036,2016,1-0,25,2020-2-22,21:00,4
3059057,2022,7072,0-3,25,2020-2-23,12:00,4
3059058,2028,2015,3-0,25,2020-2-22,18:30,4
3059059,2031,2032,2-1,25,2020-2-23,16:00,4
3059060,2019,2023,1-0,26,2020-3-1,14:00,4
3059061,2042,2036,3-0,26,2020-2-29,13:00,4
3059062,2032,2020,1-1,26,2020-3-1,16:00,4
3059063,7072,2033,0-0,26,2020-2-29,21:00,4
3059064,2053,2037,1-1,26,2020-2-29,18:30,4
3059065,2027,2039,0-1,26,2020-3-1,18:30,4
3059066,2016,2017,2-0,26,2020-3-1,21:00,4
3059067,2028,2031,1-0,26,2020-2-28,21:00,4
3059068,2021,2022,3-2,26,2020-3-1,12:00,4
3059069,2015,2025,2-1,26,2020-2-29,16:00,4
3059070,2037,2015,1-1,27,2020-3-6,21:00,4
3059071,2020,2021,2-2,27,2020-3-7,16:00,4
3059072,2017,2028,1-0,27,2020-3-7,18:30,4
3059073,2025,2016,2-1,27,2020-3-8,21:00,4
3059074,2042,2027,1-2,27,2020-3-7,13:00,4
3059075,2039,2033,0-0,27,2020-3-7,21:00,4
3059076,2036,7072,1-1,27,2020-3-8,16:00,4
3059077,2022,2032,1-0,27,2020-3-8,12:00,4
3059078,2023,2053,1-2,27,2020-3-8,18:30,4
3059079,2031,2019,1-4,27,2020-3-8,14:00,4
3059080,2019,2020,Prestavljena,28,2020-3-15,,4
3059081,2033,2023,Prestavljena,28,2020-3-15,,4
3059082,2032,2037,Prestavljena,28,2020-3-15,,4
3059083,7072,2039,Prestavljena,28,2020-3-15,,4
3059084,2053,2031,Prestavljena,28,2020-3-15,,4
3059085,2027,2017,Prestavljena,28,2020-3-15,,4
3059086,2016,2042,Prestavljena,28,2020-3-15,,4
3059087,2028,2022,Prestavljena,28,2020-3-15,,4
3059088,2021,2025,Prestavljena,28,2020-3-15,,4
3059089,2015,2036,Prestavljena,28,2020-3-15,,4
3059090,2037,2028,Prestavljena,29,2020-3-22,,4
3059091,2017,2053,Prestavljena,29,2020-3-22,,4
3059092,2025,7072,Prestavljena,29,2020-3-22,,4
3059093,2042,2019,Prestavljena,29,2020-3-22,,4
3059094,2039,2032,Prestavljena,29,2020-3-22,,4
3059095,2036,2021,Prestavljena,29,2020-3-22,,4
3059096,2022,2020,Prestavljena,29,2020-3-22,,4
3059097,2016,2015,Prestavljena,29,2020-3-22,,4
3059098,2023,2027,Prestavljena,29,2020-3-22,,4
3059099,2031,2033,Prestavljena,29,2020-3-22,,4
3059100,2019,2025,Neodigrana,30,2020-4-5,,4
3059101,2020,2031,Neodigrana,30,2020-4-5,,4
3059102,2033,2037,Neodigrana,30,2020-4-5,,4
3059103,2032,2036,Neodigrana,30,2020-4-5,,4
3059104,2039,2042,Neodigrana,30,2020-4-5,,4
3059105,7072,2023,Neodigrana,30,2020-4-5,,4
3059106,2027,2053,Neodigrana,30,2020-4-5,,4
3059107,2028,2016,Neodigrana,30,2020-4-5,,4
3059108,2021,2017,Neodigrana,30,2020-4-5,,4
3059109,2015,2022,Neodigrana,30,2020-4-5,,4
3059110,2037,2022,Neodigrana,31,2020-4-12,,4
3059111,2017,2019,Neodigrana,31,2020-4-12,,4
3059112,2025,2032,Neodigrana,31,2020-4-12,,4
3059113,2042,2015,Neodigrana,31,2020-4-12,,4
3059114,2053,7072,Neodigrana,31,2020-4-12,,4
3059115,2036,2020,Neodigrana,31,2020-4-12,,4
3059116,2016,2027,Neodigrana,31,2020-4-12,,4
3059117,2028,2033,Neodigrana,31,2020-4-12,,4
3059118,2023,2021,Neodigrana,31,2020-4-12,,4
3059119,2031,2039,Neodigrana,31,2020-4-12,,4
3059120,2019,2027,Neodigrana,32,2020-4-22,,4
3059121,2020,2037,Neodigrana,32,2020-4-22,,4
3059122,2033,2017,Neodigrana,32,2020-4-22,,4
3059123,2032,2016,Neodigrana,32,2020-4-22,,4
3059124,2039,2028,Neodigrana,32,2020-4-22,,4
3059125,7072,2042,Neodigrana,32,2020-4-22,,4
3059126,2036,2025,Neodigrana,32,2020-4-22,,4
3059127,2022,2053,Neodigrana,32,2020-4-22,,4
3059128,2021,2031,Neodigrana,32,2020-4-22,,4
3059129,2023,2015,Neodigrana,32,2020-4-22,,4
3059130,2037,7072,Neodigrana,33,2020-4-26,,4
3059131,2017,2020,Neodigrana,33,2020-4-26,,4
3059132,2025,2023,Neodigrana,33,2020-4-26,,4
3059133,2042,2022,Neodigrana,33,2020-4-26,,4
3059134,2053,2021,Neodigrana,33,2020-4-26,,4
3059135,2027,2033,Neodigrana,33,2020-4-26,,4
3059136,2016,2039,Neodigrana,33,2020-4-26,,4
3059137,2028,2032,Neodigrana,33,2020-4-26,,4
3059138,2015,2019,Neodigrana,33,2020-4-26,,4
3059139,2031,2036,Neodigrana,33,2020-4-26,,4
3059140,2019,2016,Neodigrana,34,2020-5-3,,4
3059141,2020,2027,Neodigrana,34,2020-5-3,,4
3059142,2033,2025,Neodigrana,34,2020-5-3,,4
3059143,2032,2053,Neodigrana,34,2020-5-3,,4
3059144,7072,2015,Neodigrana,34,2020-5-3,,4
3059145,2036,2028,Neodigrana,34,2020-5-3,,4
3059146,2022,2039,Neodigrana,34,2020-5-3,,4
3059147,2021,2042,Neodigrana,34,2020-5-3,,4
3059148,2023,2017,Neodigrana,34,2020-5-3,,4
3059149,2031,2037,Neodigrana,34,2020-5-3,,4
3059150,2019,2021,Neodigrana,35,2020-5-10,,4
3059151,2017,2032,Neodigrana,35,2020-5-10,,4
3059152,2025,2022,Neodigrana,35,2020-5-10,,4
3059153,2033,2020,Neodigrana,35,2020-5-10,,4
3059154,2042,2053,Neodigrana,35,2020-5-10,,4
3059155,2039,2023,Neodigrana,35,2020-5-10,,4
3059156,2027,2036,Neodigrana,35,2020-5-10,,4
3059157,2016,2037,Neodigrana,35,2020-5-10,,4
3059158,2028,7072,Neodigrana,35,2020-5-10,,4
3059159,2015,2031,Neodigrana,35,2020-5-10,,4
3059160,2037,2039,Neodigrana,36,2020-5-13,,4
3059161,2020,2025,Neodigrana,36,2020-5-13,,4
3059162,2032,2042,Neodigrana,36,2020-5-13,,4
3059163,7072,2016,Neodigrana,36,2020-5-13,,4
3059164,2053,2015,Neodigrana,36,2020-5-13,,4
3059165,2036,2019,Neodigrana,36,2020-5-13,,4
3059166,2022,2033,Neodigrana,36,2020-5-13,,4
3059167,2021,2027,Neodigrana,36,2020-5-13,,4
3059168,2023,2028,Neodigrana,36,2020-5-13,,4
3059169,2031,2017,Neodigrana,36,2020-5-13,,4
3059170,2019,2053,Neodigrana,37,2020-5-17,,4
3059171,2017,2022,Neodigrana,37,2020-5-17,,4
3059172,2025,2037,Neodigrana,37,2020-5-17,,4
3059173,2033,2036,Neodigrana,37,2020-5-17,,4
3059174,2042,2031,Neodigrana,37,2020-5-17,,4
3059175,2039,2020,Neodigrana,37,2020-5-17,,4
3059176,2027,7072,Neodigrana,37,2020-5-17,,4
3059177,2016,2023,Neodigrana,37,2020-5-17,,4
3059178,2028,2021,Neodigrana,37,2020-5-17,,4
3059179,2015,2032,Neodigrana,37,2020-5-17,,4
3059180,2037,2017,Neodigrana,38,2020-5-24,,4
3059181,2020,2028,Neodigrana,38,2020-5-24,,4
3059182,2032,2033,Neodigrana,38,2020-5-24,,4
3059183,7072,2019,Neodigrana,38,2020-5-24,,4
3059184,2053,2016,Neodigrana,38,2020-5-24,,4
3059185,2036,2039,Neodigrana,38,2020-5-24,,4
3059186,2022,2027,Neodigrana,38,2020-5-24,,4
3059187,2021,2015,Neodigrana,38,2020-5-24,,4
3059188,2023,2042,Neodigrana,38,2020-5-24,,4
3059189,2031,2025,Neodigrana,38,2020-5-24,,4
3030547,923,901,1-2,1,2019-8-10,20:00,5
3030548,890,921,0-2,1,2019-8-10,17:30,5
3030549,894,908,2-1,1,2019-8-10,20:00,5
3030550,898,896,1-1,1,2019-8-11,17:00,5
3030551,906,893,0-1,1,2019-8-10,20:00,5
3030552,918,891,3-1,1,2019-8-10,20:00,5
3030553,895,889,2-1,1,2019-8-11,15:00,5
3030554,886,932,3-0,1,2019-8-11,21:00,5
3030555,922,899,1-1,1,2019-8-10,20:00,5
3030556,885,884,0-3,1,2019-8-9,20:45,5
3030557,896,885,3-0,2,2019-8-17,20:00,5
3030558,899,923,1-0,2,2019-8-17,20:00,5
3030559,884,918,6-0,2,2019-8-16,20:45,5
3030560,901,922,1-1,2,2019-8-18,15:00,5
3030561,932,894,1-2,2,2019-8-17,20:00,5
3030562,889,890,0-0,2,2019-8-17,17:30,5
3030563,908,895,1-0,2,2019-8-17,20:00,5
3030564,891,906,1-1,2,2019-8-17,20:00,5
3030565,921,898,0-0,2,2019-8-18,17:00,5
3030566,893,886,2-1,2,2019-8-18,21:00,5
3030567,886,899,4-0,3,2019-8-25,21:00,5
3030568,908,889,1-2,3,2019-8-24,20:00,5
3030569,923,891,0-2,3,2019-8-24,20:00,5
3030570,918,896,3-0,3,2019-8-24,20:00,5
3030571,885,932,2-2,3,2019-8-25,15:00,5
3030572,894,890,1-2,3,2019-8-28,21:00,5
3030573,895,901,3-0,3,2019-8-28,19:00,5
3030574,906,884,1-0,3,2019-8-27,19:00,5
3030575,898,893,0-2,3,2019-8-25,17:00,5
3030576,922,921,1-0,3,2019-8-24,20:00,5
3030577,918,923,2-0,4,2019-8-31,20:00,5
3030578,899,908,2-0,4,2019-8-31,20:00,5
3030579,921,895,2-0,4,2019-9-1,15:00,5
3030580,893,894,1-2,4,2019-9-1,15:00,5
3030581,889,906,1-0,4,2019-8-31,20:00,5
3030582,884,891,1-1,4,2019-8-31,17:30,5
3030583,890,901,1-0,4,2019-9-1,21:00,5
3030584,932,922,3-0,4,2019-8-31,20:00,5
3030585,896,886,0-2,4,2019-8-30,20:45,5
3030586,898,885,2-2,4,2019-9-1,17:00,5
3030587,923,932,0-0,5,2019-9-14,20:00,5
3030588,889,921,1-0,5,2019-9-15,15:00,5
3030589,906,894,2-1,5,2019-9-14,20:00,5
3030590,922,893,0-0,5,2019-9-14,20:00,5
3030591,885,890,3-4,5,2019-9-15,21:00,5
3030592,901,899,2-2,5,2019-9-15,17:00,5
3030593,895,918,2-1,5,2019-9-13,19:00,5
3030594,891,896,2-0,5,2019-9-14,20:00,5
3030595,908,884,2-2,5,2019-9-13,20:45,5
3030596,886,898,1-0,5,2019-9-14,17:30,5
3030597,921,885,0-0,6,2019-9-21,20:00,5
3030598,896,908,1-2,6,2019-9-21,20:00,5
3030599,884,886,0-1,6,2019-9-22,21:00,5
3030600,891,922,2-2,6,2019-9-21,20:00,5
3030601,898,889,2-1,6,2019-9-20,20:45,5
3030602,890,906,1-1,6,2019-9-21,17:30,5
3030603,932,899,1-0,6,2019-9-21,20:00,5
3030604,918,901,4-1,6,2019-9-22,17:00,5
